,federal_district,city,geo_lat,geo_lon
197,Центральный,Комсомольск,57.0273052,40.3776851
198,Центральный,Кохма,56.932460600000006,41.0931657
199,Центральный,Наволоки,57.4679066,41.9608002
200,Центральный,Плес,57.46060309999999,41.512267200000004
201,Центральный,Приволжск,57.3805743,41.2808565
202,Центральный,Пучеж,56.98206879999999,43.1683321
203,Центральный,Родники,57.102597499999995,41.7298834
204,Центральный,Тейково,56.85427190000001,40.5353874
205,Центральный,Фурманов,57.253927600000004,41.1054432
206,Центральный,Шуя,56.85602339999999,41.3800939
207,Центральный,Южа,56.5926877,42.0458099
208,Центральный,Юрьевец,57.3177781,43.111040100000004
209,Северо-Кавказский,Карабулак,43.30552479999999,44.9094582
210,Северо-Кавказский,Магас,43.1688611,44.813120700000006
211,Северо-Кавказский,Малгобек,43.5096646,44.5901963
212,Северо-Кавказский,Назрань,43.2257841,44.7645779
213,Северо-Кавказский,Сунжа,43.3204196,45.0476331
214,Сибирский,Алзамай,55.5551233,98.6643699
215,Сибирский,Ангарск,52.544879,103.888543
216,Сибирский,Байкальск,51.5230393,104.1487532
217,Сибирский,Бирюсинск,55.9609167,97.8205348
218,Сибирский,Бодайбо,57.846863600000006,114.1866287
219,Сибирский,Братск,56.1513108,101.6340035
220,Сибирский,Вихоревка,56.1208145,101.1702926
221,Сибирский,Железногорск-Илимский,56.58478879999999,104.114275
222,Сибирский,Зима,53.92069300000001,102.0491772
223,Сибирский,Иркутск,52.2864036,104.28074659999999
224,Сибирский,Киренск,57.775659499999996,108.1109412
225,Сибирский,Нижнеудинск,54.8968931,99.0314056
226,Сибирский,Саянск,54.1107238,102.18015
227,Сибирский,Свирск,53.084266799999995,103.3364093
228,Сибирский,Слюдянка,51.65639829999999,103.7187545
229,Сибирский,Тайшет,55.9405334,98.0030145
230,Сибирский,Тулун,54.557162,100.5780603
231,Сибирский,Усолье-Сибирское,52.756580799999995,103.63881090000001
232,Сибирский,Усть-Илимск,57.9430504,102.74157340000001
233,Сибирский,Усть-Кут,56.792817799999995,105.77573429999998
234,Сибирский,Черемхово,53.136909499999994,103.0901268
235,Сибирский,Шелехов,52.2102538,104.0973294
236,Северо-Кавказский,Баксан,43.6819137,43.5345036
237,Северо-Кавказский,Майский,43.6281516,44.0517314
238,Северо-Кавказский,Нальчик,43.4845464,43.60713
239,Северо-Кавказский,Нарткала,43.5578075,43.857592499999996
240,Северо-Кавказский,Прохладный,43.758960200000004,44.0102409
241,Северо-Кавказский,Терек,43.4839358,44.1402161
242,Северо-Кавказский,Тырныауз,43.3981585,42.92135820000001
243,Северо-Кавказский,Чегем,43.5671525,43.5865792
244,Северо-Западный,Багратионовск,54.386651799999996,20.641809100000003
245,Северо-Западный,Балтийск,54.6513372,19.9140572
246,Северо-Западный,Гвардейск,54.6588378,21.0501388
247,Северо-Западный,Гурьевск,54.770638,20.6039767
248,Северо-Западный,Гусев,54.591545499999995,22.1942445
249,Северо-Западный,Зеленоградск,54.960018500000004,20.4753652
250,Северо-Западный,Калининград,54.7074702,20.5073241
251,Северо-Западный,Краснознаменск,54.94534229999999,22.4928745
252,Северо-Западный,Ладушкин,54.56921559999999,20.1690153
253,Северо-Западный,Мамоново,54.4646036,19.945348199999998
254,Северо-Западный,Неман,55.0316524,22.0324064
255,Северо-Западный,Нестеров,54.6313814,22.5713736
256,Северо-Западный,Озерск,54.40847049999999,22.0134438
257,Северо-Западный,Пионерский,54.9516574,20.2277424
258,Северо-Западный,Полесск,54.8625126,21.0998067
259,Северо-Западный,Правдинск,54.443098600000006,21.008526899999996
260,Северо-Западный,Приморск,54.731143700000004,19.9981926
261,Северо-Западный,Светлогорск,54.9439286,20.151429500000003
262,Северо-Западный,Светлый,54.6772897,20.1357595
263,Северо-Западный,Славск,55.0449714,21.6742367
264,Северо-Западный,Советск,55.0809336,21.888610600000003
265,Северо-Западный,Черняховск,54.624475100000005,21.796906200000002
266,Южный,Городовиковск,46.087508299999996,41.935537
267,Южный,Лагань,45.3930912,47.3432602
268,Южный,Элиста,46.3083344,44.2702088
269,Центральный,Балабаново,55.177371400000006,36.6566951
270,Центральный,Белоусово,55.0956803,36.677628999999996
271,Центральный,Боровск,55.2130096,36.4926251
272,Центральный,Ермолино,55.19717579999999,36.595272200000004
273,Центральный,Жиздра,53.7521926,34.7386592
274,Центральный,Жуков,55.0301833,36.7394903
275,Центральный,Калуга,54.5059848,36.2516245
276,Центральный,Киров,54.0790111,34.3076201
277,Центральный,Козельск,54.0347201,35.780768
278,Центральный,Кондрово,54.7959473,35.9274842
279,Центральный,Кременки,54.886244700000006,37.1168701
280,Центральный,Людиново,53.8700828,34.4385915
281,Центральный,Малоярославец,55.0177123,36.4633603
282,Центральный,Медынь,54.968978500000006,35.8872168
283,Центральный,Мещовск,54.3191471,35.2816918
284,Центральный,Мосальск,54.4824939,34.987223900000004
285,Центральный,Обнинск,55.094314399999995,36.6121639
